dropped_attributes,k,f1
"('sex', 'cp_1.0')",5,0.7722007722007722
"('sex', 'cp_1.0')",7,0.7751937984496123
"('sex', 'cp_1.0')",9,0.7470817120622568
"('sex', 'cp_2.0')",3,0.7794117647058825
"('sex', 'cp_2.0')",5,0.77992277992278
"('sex', 'cp_2.0')",7,0.7686274509803922
"('sex', 'cp_2.0')",9,0.7686274509803922
"('sex', 'cp_3.0')",3,0.7692307692307693
"('sex', 'cp_3.0')",5,0.7876447876447877
"('sex', 'cp_3.0')",7,0.7698412698412699
"('sex', 'cp_3.0')",9,0.7686274509803922
"('sex', 'cp_4.0')",3,0.781021897810219
"('sex', 'cp_4.0')",5,0.7756653992395438
"('sex', 'cp_4.0')",7,0.7615384615384615
"('sex', 'cp_4.0')",9,0.7567567567567568
"('sex', 'trestbps')",3,0.7647058823529411
"('sex', 'trestbps')",5,0.7846153846153846
"('sex', 'trestbps')",7,0.7782101167315175
"('sex', 'trestbps')",9,0.7846153846153846
"('sex', 'chol')",3,0.7927272727272728
"('sex', 'chol')",5,0.7756653992395438
"('sex', 'chol')",7,0.7615384615384615
"('sex', 'chol')",9,0.7607843137254902
"('sex', 'fbs')",3,0.7725631768953068
"('sex', 'fbs')",5,0.791044776119403
"('sex', 'fbs')",7,0.7722007722007722
"('sex', 'fbs')",9,0.7578125
"('sex', 'restecg_0.0')",3,0.7703703703703705
"('sex', 'restecg_0.0')",5,0.7938931297709925
"('sex', 'restecg_0.0')",7,0.7921568627450981
"('sex', 'restecg_0.0')",9,0.7686274509803922
"('sex', 'restecg_1.0')",3,0.7813620071684588
"('sex', 'restecg_1.0')",5,0.7756653992395438
"('sex', 'restecg_1.0')",7,0.7751937984496123
"('sex', 'restecg_1.0')",9,0.7596899224806202
"('sex', 'restecg_2.0')",3,0.7703703703703705
"('sex', 'restecg_2.0')",5,0.7938931297709925
"('sex', 'restecg_2.0')",7,0.7952755905511811
"('sex', 'restecg_2.0')",9,0.7686274509803922
"('sex', 'thalach')",3,0.762962962962963
"('sex', 'thalach')",5,0.7984790874524714
"('sex', 'thalach')",7,0.7786259541984732
"('sex', 'thalach')",9,0.7846153846153846
"('sex', 'exang')",3,0.7426470588235294
"('sex', 'exang')",5,0.7692307692307693
"('sex', 'exang')",7,0.7615384615384615
"('sex', 'exang')",9,0.7557251908396947
"('sex', 'oldpeak')",3,0.7741935483870969
"('sex', 'oldpeak')",5,0.7781818181818181
"('sex', 'oldpeak')",7,0.7732342007434945
"('sex', 'oldpeak')",9,0.7822878228782288
"('sex', 'slope')",3,0.7611940298507462
"('sex', 'slope')",5,0.7686274509803922
"('sex', 'slope')",7,0.7829457364341086
"('sex', 'slope')",9,0.7795275590551182
"('cp_1.0', 'cp_2.0')",3,0.7769784172661871
"('cp_1.0', 'cp_2.0')",5,0.7816091954022988
"('cp_1.0', 'cp_2.0')",7,0.7704280155642024
"('cp_1.0', 'cp_2.0')",9,0.7829457364341086
"('cp_1.0', 'cp_3.0')",3,0.7769784172661871
"('cp_1.0', 'cp_3.0')",5,0.7954545454545454
"('cp_1.0', 'cp_3.0')",7,0.7876447876447877
"('cp_1.0', 'cp_3.0')",9,0.7829457364341086
"('cp_1.0', 'cp_4.0')",3,0.770909090909091
"('cp_1.0', 'cp_4.0')",5,0.7790262172284644
"('cp_1.0', 'cp_4.0')",7,0.7644787644787645
"('cp_1.0', 'cp_4.0')",9,0.7773584905660376
"('cp_1.0', 'trestbps')",3,0.7647058823529411
"('cp_1.0', 'trestbps')",5,0.7849056603773585
"('cp_1.0', 'trestbps')",7,0.7846153846153846
"('cp_1.0', 'trestbps')",9,0.7832699619771863
"('cp_1.0', 'chol')",3,0.804270462633452
"('cp_1.0', 'chol')",5,0.7896678966789666
"('cp_1.0', 'chol')",7,0.7698113207547169
"('cp_1.0', 'chol')",9,0.7756653992395438
"('cp_1.0', 'fbs')",3,0.7829181494661922
"('cp_1.0', 'fbs')",5,0.791044776119403
"('cp_1.0', 'fbs')",7,0.790874524714829
"('cp_1.0', 'fbs')",9,0.7615384615384615
"('cp_1.0', 'restecg_0.0')",3,0.790035587188612
"('cp_1.0', 'restecg_0.0')",5,0.8030303030303031
"('cp_1.0', 'restecg_0.0')",7,0.7859922178988328
"('cp_1.0', 'restecg_0.0')",9,0.748091603053435
"('cp_1.0', 'restecg_1.0')",3,0.7915194346289752
"('cp_1.0', 'restecg_1.0')",5,0.7924528301886793
"('cp_1.0', 'restecg_1.0')",7,0.7786259541984732
"('cp_1.0', 'restecg_1.0')",9,0.7786259541984732
"('cp_1.0', 'restecg_2.0')",3,0.790035587188612
"('cp_1.0', 'restecg_2.0')",5,0.8030303030303031
"('cp_1.0', 'restecg_2.0')",7,0.7859922178988328
"('cp_1.0', 'restecg_2.0')",9,0.748091603053435
"('cp_1.0', 'thalach')",3,0.7870036101083032
"('cp_1.0', 'thalach')",5,0.8
"('cp_1.0', 'thalach')",7,0.8
"('cp_1.0', 'thalach')",9,0.7862595419847328
"('cp_1.0', 'exang')",3,0.7714285714285715
"('cp_1.0', 'exang')",5,0.7722007722007722
"('cp_1.0', 'exang')",7,0.7698113207547169
"('cp_1.0', 'exang')",9,0.7790262172284644
"('cp_1.0', 'oldpeak')",3,0.7719298245614036
"('cp_1.0', 'oldpeak')",5,0.7794117647058825
"('cp_1.0', 'oldpeak')",7,0.7675276752767527
"('cp_1.0', 'oldpeak')",9,0.786764705882353
"('cp_1.0', 'slope')",3,0.7647058823529411
"('cp_1.0', 'slope')",5,0.8045977011494253
"('cp_1.0', 'slope')",7,0.7832699619771863
"('cp_1.0', 'slope')",9,0.77992277992278
"('cp_2.0', 'cp_3.0')",3,0.761904761904762
"('cp_2.0', 'cp_3.0')",5,0.790874524714829
"('cp_2.0', 'cp_3.0')",7,0.7906976744186046
"('cp_2.0', 'cp_3.0')",9,0.7812499999999999
"('cp_2.0', 'cp_4.0')",3,0.781021897810219
"('cp_2.0', 'cp_4.0')",5,0.7692307692307693
"('cp_2.0', 'cp_4.0')",7,0.7692307692307693
"('cp_2.0', 'cp_4.0')",9,0.7782101167315175
"('cp_2.0', 'trestbps')",3,0.761904761904762
"('cp_2.0', 'trestbps')",5,0.7876447876447877
"('cp_2.0', 'trestbps')",7,0.7692307692307693
"('cp_2.0', 'trestbps')",9,0.7862595419847328
"('cp_2.0', 'chol')",3,0.7670250896057347
"('cp_2.0', 'chol')",5,0.7662835249042146
"('cp_2.0', 'chol')",7,0.7644787644787645
"('cp_2.0', 'chol')",9,0.7829457364341086
"('cp_2.0', 'fbs')",3,0.7697841726618704
"('cp_2.0', 'fbs')",5,0.7940074906367041
"('cp_2.0', 'fbs')",7,0.7751937984496123
"('cp_2.0', 'fbs')",9,0.776470588235294
"('cp_2.0', 'restecg_0.0')",3,0.7732342007434945
"('cp_2.0', 'restecg_0.0')",5,0.7906976744186046
"('cp_2.0', 'restecg_0.0')",7,0.7734374999999999
"('cp_2.0', 'restecg_0.0')",9,0.7782101167315175
"('cp_2.0', 'restecg_1.0')",3,0.7797833935018053
"('cp_2.0', 'restecg_1.0')",5,0.7816091954022988
